Brown University Keck/NASA Relab Spectrum SC-EAC-002/C1SC02
Wavelength(micron)	Reflectance
2.05	0.83637
2.055	0.83676
2.06	0.83723
2.065	0.83751
2.07	0.83800
2.075	0.83837
2.08	0.83825
2.085	0.83939
2.09	0.83993
2.095	0.83999
2.1	0.84025
2.105	0.84057
2.11	0.84118
2.115	0.84130
2.12	0.84399
2.125	0.84307
2.13	0.84391
2.135	0.84471
2.14	0.84430
2.145	0.84412
2.15	0.84438
2.155	0.84450
2.16	0.84504
2.165	0.84482
2.17	0.84350
2.175	0.84369
2.18	0.84315
2.185	0.84312
2.19	0.84223
2.195	0.84193
2.2	0.84234
2.205	0.84204
2.21	0.84222
2.215	0.84204
2.22	0.84256
2.225	0.84245
2.23	0.84208
2.235	0.84165
2.24	0.84222
2.245	0.84200
2.25	0.84167
2.255	0.84237
2.26	0.84227
2.265	0.84256
2.27	0.84231
2.275	0.84232
2.28	0.84210
2.285	0.84299
2.29	0.84244
2.295	0.84273
2.3	0.84272
2.305	0.84385
2.31	0.84386
2.315	0.84389
2.32	0.84389
2.325	0.84336
2.33	0.84262
2.335	0.84288
2.34	0.84307
2.345	0.84180
2.35	0.84080
2.355	0.84168
2.36	0.84203
2.365	0.84136
2.37	0.84068
2.375	0.84094
2.38	0.84006
2.385	0.84029
2.39	0.84115
2.395	0.83978
2.4	0.83894
2.405	0.83916
2.41	0.83718
2.415	0.83874
2.42	0.83794
2.425	0.83740
2.43	0.83750
2.435	0.83668
2.44	0.83626
2.445	0.83669
2.45	0.83714
2.455	0.83493
2.46	0.83411
2.465	0.83323
2.47	0.83304
2.475	0.83068
2.48	0.83070
2.485	0.83117
2.49	0.83124
2.495	0.83219
2.5	0.83327
2.505	0.83226
2.51	0.83141
2.515	0.82951
2.52	0.82893
2.525	0.82813
2.53	0.82889
2.535	0.82827
2.54	0.82874
2.545	0.82888
2.55	0.82638
2.555	0.82754
2.56	0.82508
2.565	0.82388
2.57	0.82174
2.575	0.82282
2.58	0.82319
2.585	0.81578
2.59	0.81618
2.595	0.81735
2.6	0.81765
2.605	0.81588
2.61	0.81590
2.615	0.81386
2.62	0.81609
2.625	0.81551
2.63	0.81470
2.635	0.81166
2.64	0.81261
2.645	0.81016
2.65	0.81147
2.655	0.80946
2.66	0.80823
2.665	0.79889
2.67	0.79458
2.675	0.79144
2.68	0.79052
2.685	0.79416
2.69	0.79224
2.695	0.79026
2.7	0.78529
2.705	0.76851
2.71	0.76205
2.715	0.75647
2.72	0.75044
2.725	0.74735
2.73	0.74224
2.735	0.73314
2.74	0.72549
2.745	0.71735
2.75	0.70637
2.755	0.70456
2.76	0.70266
2.765	0.68529
2.77	0.68329
2.775	0.67271
2.78	0.67076
2.785	0.66635
2.79	0.65321
2.795	0.64788
2.8	0.64818
2.805	0.64627
2.81	0.64382
2.815	0.64210
2.82	0.63558
2.825	0.62946
2.83	0.63121
2.835	0.63405
2.84	0.62758
2.845	0.62640
2.85	0.62102
2.855	0.61830
2.86	0.62002
2.865	0.61799
2.87	0.61843
2.875	0.61554
2.88	0.61720
2.885	0.61243
2.89	0.61182
2.895	0.61018
2.9	0.61122
2.905	0.61142
2.91	0.61453
2.915	0.61848
2.92	0.61199
2.925	0.60708
2.93	0.61097
2.935	0.60827
2.94	0.60898
2.945	0.60481
2.95	0.60692
2.955	0.60979
2.96	0.61033
2.965	0.61081
2.97	0.60837
2.975	0.60843
2.98	0.60936
2.985	0.60642
2.99	0.60990
2.995	0.61091
3	0.61006
3.005	0.61145
3.01	0.61350
3.015	0.61107
3.02	0.61469
3.025	0.61589
3.03	0.61488
3.035	0.61170
3.04	0.61588
3.045	0.61041
3.05	0.61209
3.055	0.61439
3.06	0.61617
3.065	0.61735
3.07	0.61761
3.075	0.61743
3.08	0.61816
3.085	0.62150
3.09	0.62262
3.095	0.62501
3.1	0.62577
3.105	0.62774
3.11	0.62438
3.115	0.62695
3.12	0.62607
3.125	0.62395
3.13	0.62694
3.135	0.63055
3.14	0.63224
3.145	0.62893
3.15	0.62988
3.155	0.62958
3.16	0.63049
3.165	0.63277
3.17	0.63222
3.175	0.63224
3.18	0.62995
3.185	0.63225
3.19	0.63100
3.195	0.63185
3.2	0.63367
3.205	0.63122
3.21	0.63100
3.215	0.63493
3.22	0.63451
3.225	0.63445
3.23	0.63249
3.235	0.63321
3.24	0.63313
3.245	0.63386
3.25	0.63386
3.255	0.63613
3.26	0.63444
3.265	0.63255
3.27	0.62905
3.275	0.62999
3.28	0.62888
3.285	0.62883
3.29	0.62839
3.295	0.62814
3.3	0.62805
3.305	0.62619
3.31	0.62524
3.315	0.62283
3.32	0.62207
3.325	0.61732
3.33	0.61779
3.335	0.61666
3.34	0.61256
3.345	0.61343
3.35	0.61041
3.355	0.60677
3.36	0.61122
3.365	0.61016
3.37	0.61469
3.375	0.61594
3.38	0.61782
3.385	0.61800
3.39	0.61706
3.395	0.61600
3.4	0.61348
3.405	0.61955
3.41	0.61937
3.415	0.62136
3.42	0.62394
3.425	0.62186
3.43	0.62196
3.435	0.62015
3.44	0.62554
3.445	0.62061
3.45	0.61891
3.455	0.61977
3.46	0.61581
3.465	0.61672
3.47	0.61524
3.475	0.61126
3.48	0.60767
3.485	0.60758
3.49	0.61393
3.495	0.61013
3.5	0.60546
3.505	0.60446
3.51	0.60730
3.515	0.60459
3.52	0.60192
3.525	0.60268
3.53	0.60229
3.535	0.60188
3.54	0.60022
3.545	0.60275
3.55	0.59450
3.555	0.58667
3.56	0.59924
3.565	0.58779
3.57	0.59128
3.575	0.58846
3.58	0.58110
3.585	0.58055
3.59	0.59587
3.595	0.58917
3.6	0.57660
