Brown University Keck/NASA Relab Spectrum DH-CMP-011/C1DH11
Wavelength(micron)	Reflectance	Standard Deviation
1.42	0.82962	0.00466
1.425	0.82756	0.00479
1.43	0.82873	0.00468
1.435	0.82847	0.00462
1.44	0.82907	0.00427
1.445	0.82811	0.00512
1.45	0.82909	0.00527
1.455	0.82864	0.00450
1.46	0.82922	0.00471
1.465	0.82964	0.00475
1.47	0.82997	0.00392
1.475	0.83118	0.00457
1.48	0.83106	0.00438
1.485	0.83139	0.00427
1.49	0.83238	0.00416
1.495	0.83291	0.00472
1.5	0.83294	0.00485
1.505	0.83344	0.00427
1.51	0.83421	0.00443
1.515	0.83448	0.00459
1.52	0.83543	0.00440
1.525	0.83601	0.00495
1.53	0.83589	0.00474
1.535	0.83529	0.00471
1.54	0.83652	0.00453
1.545	0.83594	0.00448
1.55	0.83656	0.00449
1.555	0.83799	0.00448
1.56	0.83738	0.00463
1.565	0.83718	0.00437
1.57	0.83699	0.00425
1.575	0.83779	0.00422
1.58	0.83769	0.00461
1.585	0.83759	0.00386
1.59	0.83897	0.00440
1.595	0.83886	0.00426
1.6	0.83843	0.00424
1.605	0.83871	0.00434
1.61	0.83860	0.00477
1.615	0.83914	0.00446
1.62	0.83998	0.00431
1.625	0.83918	0.00409
1.63	0.83841	0.00474
1.635	0.83797	0.00476
1.64	0.83778	0.00461
1.645	0.83792	0.00450
1.65	0.83901	0.00486
1.655	0.83891	0.00428
1.66	0.83925	0.00453
1.665	0.84026	0.00456
1.67	0.83976	0.00436
1.675	0.83933	0.00438
1.68	0.83953	0.00428
1.685	0.84016	0.00448
1.69	0.84055	0.00442
1.695	0.84011	0.00429
1.7	0.84081	0.00453
1.705	0.84111	0.00436
1.71	0.84140	0.00424
1.715	0.84103	0.00412
1.72	0.84128	0.00465
1.725	0.84111	0.00425
1.73	0.84096	0.00414
1.735	0.84077	0.00425
1.74	0.84085	0.00447
1.745	0.83995	0.00418
1.75	0.84112	0.00435
1.755	0.84099	0.00481
1.76	0.84114	0.00423
1.765	0.84089	0.00437
1.77	0.84169	0.00448
1.775	0.84180	0.00411
1.78	0.84066	0.00439
1.785	0.84224	0.00428
1.79	0.84185	0.00448
1.795	0.84119	0.00421
1.8	0.84326	0.00460
1.805	0.84222	0.00414
1.81	0.84247	0.00439
1.815	0.84223	0.00486
1.82	0.84176	0.00496
1.825	0.84196	0.00434
1.83	0.84143	0.00459
1.835	0.84153	0.00504
1.84	0.84090	0.00487
1.845	0.84114	0.00533
1.85	0.83993	0.00436
1.855	0.84016	0.00474
1.86	0.84081	0.00417
1.865	0.83938	0.00456
1.87	0.83717	0.00452
1.875	0.83568	0.00457
1.88	0.83352	0.00448
1.885	0.83187	0.00480
1.89	0.82968	0.00483
1.895	0.82192	0.00456
1.9	0.81997	0.00399
1.905	0.80978	0.00493
1.91	0.80126	0.00434
1.915	0.79573	0.00453
1.92	0.79217	0.00469
1.925	0.78419	0.00501
1.93	0.77920	0.00485
1.935	0.77450	0.00391
1.94	0.76942	0.00418
1.945	0.76944	0.00451
1.95	0.77049	0.00424
1.955	0.77220	0.00410
1.96	0.77463	0.00413
1.965	0.77723	0.00436
1.97	0.77852	0.00447
1.975	0.78033	0.00386
1.98	0.78255	0.00398
1.985	0.78530	0.00405
1.99	0.78799	0.00450
1.995	0.78952	0.00417
2	0.79293	0.00474
2.005	0.79568	0.00407
2.01	0.79923	0.00462
2.015	0.80251	0.00470
2.02	0.80422	0.00492
2.025	0.80595	0.00469
2.03	0.80677	0.00469
2.035	0.80779	0.00470
2.04	0.80919	0.00420
2.045	0.81084	0.00485
2.05	0.81066	0.00446
2.055	0.81299	0.00428
2.06	0.81382	0.00455
2.065	0.81337	0.00418
2.07	0.81471	0.00426
2.075	0.81592	0.00481
2.08	0.81667	0.00469
2.085	0.81776	0.00458
2.09	0.81911	0.00481
2.095	0.81992	0.00504
2.1	0.82053	0.00452
2.105	0.82179	0.00438
2.11	0.82367	0.00417
2.115	0.82420	0.00445
2.12	0.82472	0.00417
2.125	0.82516	0.00386
2.13	0.82466	0.00399
2.135	0.82632	0.00423
2.14	0.82552	0.00437
2.145	0.82707	0.00422
2.15	0.82659	0.00448
2.155	0.82719	0.00427
2.16	0.82731	0.00403
2.165	0.82714	0.00478
2.17	0.82918	0.00439
2.175	0.82925	0.00472
2.18	0.82852	0.00412
2.185	0.82900	0.00414
2.19	0.83063	0.00363
2.195	0.83254	0.00541
2.2	0.83138	0.00442
2.205	0.83355	0.00525
2.21	0.83154	0.00447
2.215	0.83106	0.00396
2.22	0.83099	0.00426
2.225	0.83132	0.00466
2.23	0.83042	0.00462
2.235	0.83088	0.00443
2.24	0.83136	0.00453
2.245	0.83141	0.00463
2.25	0.83132	0.00438
2.255	0.83185	0.00429
2.26	0.83258	0.00417
2.265	0.83178	0.00404
2.27	0.83171	0.00407
2.275	0.83267	0.00418
2.28	0.83296	0.00479
2.285	0.83238	0.00452
2.29	0.83230	0.00421
2.295	0.83161	0.00428
2.3	0.83151	0.00461
2.305	0.82937	0.00462
2.31	0.82893	0.00436
2.315	0.82853	0.00435
2.32	0.82787	0.00475
2.325	0.82692	0.00502
2.33	0.82734	0.00467
2.335	0.82608	0.00438
2.34	0.82524	0.00445
2.345	0.82325	0.00427
2.35	0.82221	0.00440
2.355	0.82032	0.00453
2.36	0.81942	0.00468
2.365	0.81650	0.00458
2.37	0.81593	0.00504
2.375	0.81291	0.00481
2.38	0.80985	0.00485
2.385	0.80949	0.00447
2.39	0.80539	0.00430
2.395	0.80297	0.00491
2.4	0.80096	0.00467
2.405	0.79666	0.00436
2.41	0.79483	0.00447
2.415	0.79089	0.00438
2.42	0.78955	0.00428
2.425	0.78694	0.00444
2.43	0.78470	0.00386
2.435	0.78255	0.00422
2.44	0.78067	0.00441
2.445	0.78092	0.00439
2.45	0.77924	0.00413
2.455	0.77713	0.00444
2.46	0.77654	0.00456
2.465	0.77554	0.00400
2.47	0.77510	0.00457
2.475	0.77384	0.00479
2.48	0.77514	0.00468
2.485	0.77329	0.00490
2.49	0.77256	0.00481
2.495	0.77248	0.00430
2.5	0.76956	0.00449
2.505	0.76928	0.00399
2.51	0.76952	0.00421
2.515	0.76942	0.00467
2.52	0.77007	0.00406
2.525	0.76950	0.00497
2.53	0.76948	0.00446
2.535	0.77042	0.00716
2.54	0.77070	0.00464
2.545	0.77061	0.01047
2.55	0.76970	0.00434
2.555	0.76929	0.00414
2.56	0.76969	0.00479
2.565	0.76809	0.01460
2.57	0.76948	0.00489
2.575	0.76620	0.01065
2.58	0.76841	0.00445
2.585	0.76799	0.01988
2.59	0.76662	0.00506
2.595	0.76421	0.02792
2.6	0.76303	0.00507
