Brown University Keck/NASA Relab Spectrum PP-EAC-009/C1PP09
Wavelength(micron)	Reflectance
2.05	0.39630
2.055	0.39431
2.06	0.39192
2.065	0.39048
2.07	0.38709
2.075	0.38557
2.08	0.38347
2.085	0.38143
2.09	0.37919
2.095	0.37657
2.1	0.37478
2.105	0.37236
2.11	0.37082
2.115	0.36881
2.12	0.36737
2.125	0.36583
2.13	0.36363
2.135	0.36163
2.14	0.35911
2.145	0.35757
2.15	0.35601
2.155	0.35399
2.16	0.35296
2.165	0.35074
2.17	0.34916
2.175	0.34770
2.18	0.34622
2.185	0.34460
2.19	0.34377
2.195	0.34297
2.2	0.34142
2.205	0.34021
2.21	0.33913
2.215	0.33757
2.22	0.33733
2.225	0.33549
2.23	0.33470
2.235	0.33383
2.24	0.33307
2.245	0.33245
2.25	0.33166
2.255	0.33099
2.26	0.33091
2.265	0.33041
2.27	0.33016
2.275	0.32976
2.28	0.32965
2.285	0.32924
2.29	0.32879
2.295	0.32902
2.3	0.32883
2.305	0.32922
2.31	0.32894
2.315	0.32959
2.32	0.32911
2.325	0.32932
2.33	0.33081
2.335	0.33074
2.34	0.33113
2.345	0.33127
2.35	0.33264
2.355	0.33253
2.36	0.33373
2.365	0.33486
2.37	0.33547
2.375	0.33644
2.38	0.33788
2.385	0.33954
2.39	0.34040
2.395	0.34144
2.4	0.34362
2.405	0.34534
2.41	0.34699
2.415	0.34881
2.42	0.35034
2.425	0.35292
2.43	0.35429
2.435	0.35609
2.44	0.35907
2.445	0.36108
2.45	0.36330
2.455	0.36526
2.46	0.36782
2.465	0.37126
2.47	0.37324
2.475	0.37613
2.48	0.37852
2.485	0.38086
2.49	0.38420
2.495	0.38644
2.5	0.39026
2.505	0.39300
2.51	0.39628
2.515	0.39941
2.52	0.40284
2.525	0.40586
2.53	0.40790
2.535	0.41162
2.54	0.41483
2.545	0.41716
2.55	0.42221
2.555	0.42655
2.56	0.42744
2.565	0.43281
2.57	0.43616
2.575	0.43890
2.58	0.44179
2.585	0.44479
2.59	0.44855
2.595	0.45183
2.6	0.45651
